genus,species,family,demersal,benthopelagic,bathydemersal,pelagic,pelagic-neritic,pelagic-oceanic,reef-associated,epipelagic,mesopelagic,bathypelagic,abyssopelagic,marine,freshwater,brackish,anadromous,catadromous,amphidromous,potamodromous,limnodromous,oceanodromous,non-migratory,min_depth_m,max_depth_m,usual_min_depth_m,usual_max_depth_m,min_ph,max_ph,min_dh,max_dh,url
bodianus,izuensis,labridae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,30.0,70.0,30.0,35.0,,,,,https://www.fishbase.ca/summary/Bodianus_izuensis.html
mycteroperca,venenosa,serranidae,,,,,,,1.0,,,,,1.0,,,,,,,,,,2.0,137.0,5.0,35.0,,,,,https://www.fishbase.se/summary/Mycteroperca_venenosa.html
notopterus,notopterus,notopteridae,1.0,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,6.0,6.5,3.0,8.0,https://www.fishbase.se/summary/Notopterus_notopterus.html
enchelycore,lichenosa,muraenidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,5.0,24.0,,,,,,,https://www.fishbase.de/summary/Enchelycore_lichenosa.html
cheilodipterus,isostigmus,apogonidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,4.0,50.0,,,,,,,https://www.fishbase.net.br/summary/Cheilodipterus_isostigmus.html
canthigaster,axiologus,tetraodontidae,,,,,,,1.0,,,,,1.0,,,,,,,,,,10.0,80.0,,,,,,,https://www.fishbase.se/summary/Canthigaster_axiologus.html
anodontostoma,chacunda,clupeidae,,,,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,,0.0,50.0,,,,,,,https://www.fishbase.ca/summary/Anodontostoma_chacunda.html
diplomystes,chilensis,diplomystidae,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.de/summary/Diplomystes_chilensis.html
ophiocara,porocephala,eleotridae,1.0,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,0.0,20.0,,,,,,,https://www.fishbase.net.br/summary/Ophiocara_porocephala.html
solea,ovata,soleidae,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.ca/summary/Solea_ovata.html
copadichromis,pleurostigma,cichlidae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,7.4,8.4,7.0,30.0,https://www.fishbase.ca/summary/Copadichromis_pleurostigma.html
apogon,oxina,Apogonidae,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,10.0,22.0,,,,,,,https://www.fishbase.ca/summary/Apogon_oxina.html
heterotilapia,buttikoferi,cichlidae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,6.5,7.0,,,https://www.fishbase.se/summary/Heterotilapia_buttikoferi.html
corynopoma,riisei,characidae,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,6.0,7.8,,,https://www.fishbase.se/summary/Corynopoma_riisei.html
chaetodon,declivis,chaetodontidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,?,23.0,,,,,,,https://www.fishbase.de/summary/Chaetodon_declivis.html
periophthalmodon,schlosseri,gobiidae,1.0,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,0.0,2.0,,,,,,,https://www.fishbase.ca/summary/Periophthalmodon_schlosseri.html
johnius,carouna,sciaenidae,,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,https://www.fishbase.net.br/summary/Johnius_carouna.html
corydoras,leucomelas,callichthyidae,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,6.0,8.0,2.0,25.0,https://www.fishbase.ca/summary/Corydoras_leucomelas.html
paraclinus,marmoratus,labrisomidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,0.0,6.0,,,,,,,https://www.fishbase.ca/summary/Paraclinus_marmoratus.html
hypsoblennius,gentilis,blenniidae,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,0.0,25.0,?,10.0,,,,,https://www.fishbase.se/summary/Hypsoblennius_gentilis.html
micropterus,treculii,Centrarchidae,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.ca/summary/Micropterus_treculii.html
hemicaranx,zelotes,carangidae,,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,https://www.fishbase.de/summary/Hemicaranx_zelotes.html
