genus,species,demersal,marine,min_depth_m,max_depth_m,usual_min_depth_m,usual_max_depth_m,benthopelagic,freshwater,min_ph,max_ph,min_dh,max_dh,reef-associated,pelagic,amphidromous,brackish,non-migratory,potamodromous,bathydemersal,oceanodromous,pelagic-neritic,anadromous,pelagic-oceanic,bathypelagic,catadromous
chiloscyllium,griseum,,1.0,5,100,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,
tometes,makue,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,
leucoraja,erinacea,1.0,1.0,10,914,,,,,,,,,,,,,,,,1.0,,,,,
etheostoma,juliae,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
lethrinus,miniatus,,1.0,5,30,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,
hippocampus,erectus,,1.0,0,100,,,,,,,,,1.0,,,,1.0,,,,,,,,
mystacoleucus,marginatus,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
cyprinus,carpio,,,0,29,,,1.0,1.0,6.5,6.5,10.0,10.0,,,,1.0,,1.0,,,,,,,
chrysiptera,brownriggii,,1.0,0,12,,,,,,,,,1.0,,,,1.0,,,,,,,,
etheostoma,fusiforme,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
acanthostracion,quadricornis,,1.0,1,80,10,30,,,,,,,1.0,,,,,,,,,,,,
wallago,attu,1.0,,,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,
congrogadus,subducens,,1.0,0,10,,,,,,,,,1.0,,,1.0,,,,,,,,,
glyptothorax,minimaculatus,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
pristicon,rufus,,1.0,15,80,,,,,,,,,1.0,,,,,,,,,,,,
notropis,photogenis,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
cirrhitichthys,bleekeri,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,
bothus,mancus,,1.0,3,150,,,,,,,,,1.0,,,,,,,,,,,,
sarcocheilichthys,nigripinnis,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
parodon,caliensis,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
chromis,multilineata,,1.0,0,60,,,,,,,,,1.0,,,,1.0,,,,,,,,
azurina,intercrusma,,1.0,0,15,,,,,,,,,1.0,,,,1.0,,,,,,,,
labeo,indramontri,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
lepidocephalichthys,berdmorei,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
ecsenius,pulcher,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
helcogramma,ellioti,1.0,1.0,2,10,2,5,,,,,,,,,,,,,,,,,,,
moxostoma,macrolepidotum,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,
lepidomeda,aliciae,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
parabothus,budkeri,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
alestes,comptus,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,
aspidontus,taeniatus,,1.0,1,25,,,,,,,,,1.0,,,,,,,,,,,,
myripristis,berndti,,1.0,0,159,3,15,,,,,,,1.0,,,,,,,,,,,,
upeneus,tragula,,1.0,0,42,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,
copadichromis,azureus,,,,,19,25,1.0,1.0,,,,,,,,,,,,,,,,,
notropis,ariommus,,,1,?,,,1.0,1.0,,,,,,,,,,,,,,,,,
neoodax,balteatus,1.0,1.0,1,22,,,,,,,,,,,,1.0,,,,,,,,,
pristis,pectinata,1.0,1.0,10,88,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,
moenkhausia,cotinho,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
haplochromis,squamulatus,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
bivibranchia,simulata,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
hime,capitonis,1.0,1.0,240,300,,,,,,,,,,,,,,,,,,,,,
echidna,nebulosa,,1.0,0,48,?,10,,,,,,,1.0,,,,,,,,,,,,
parakneria,abbreviata,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
gasterosteus,aculeatus,,1.0,0,100,,,1.0,1.0,,,,,,,,1.0,,,,,,1.0,,,
oncorhynchus,mykiss,,1.0,0,200,,,1.0,1.0,,,,,,,,1.0,,,,,,1.0,,,
hemigrammocharax,uniocellatus,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,
badis,khwae,,,0,2,,,1.0,1.0,,,,,,,,,,,,,,,,,
rhinogobius,bucculentus,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
amatitlania,altoflava,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
nannocharax,parvus,,,,,,,,1.0,6.5,6.5,25.0,25.0,,1.0,,,,,,,,,,,
chloroscombrus,chrysurus,,1.0,0,110,,,,,,,,,,,,1.0,,,,,1.0,,,,
notropis,spectrunculus,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
esox,masquinongy,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,
labeobarbus,marequensis,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,
sebastapistes,galactacma,,1.0,?,200,,,,,,,,,1.0,,,,,,,,,,,,
epinephelus,diacanthus,1.0,1.0,2,300,10,120,,,,,,,,,,,,,,,,,,,
parabothus,filipes,,1.0,300,330,,,,,,,,,,,,,,,1.0,,,,,,
ostorhinchus,endekataenia,,1.0,25,30,,,,,,,,,1.0,,,,,,,,,,,,
petrocephalus,soudanensis,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
thalassoma,hardwicke,,1.0,0,15,0,15,,,,,,,1.0,,,,1.0,,,,,,,,
erimyzon,tenuis,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
pomacentrus,moluccensis,,1.0,1,60,,,,,,,,,1.0,,,,1.0,,,,,,,,
sardinella,aurita,,1.0,0,350,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,
sargocentron,tiereoides,,1.0,0,100,0,15,,,,,,,1.0,,,,,,,,,,,,
istiblennius,spilotus,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
cryptocentrus,lutheri,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,
xanthichthys,mento,,1.0,6,130,,,,,,,,,1.0,,,,,,,,,,,,
amphiprion,ocellaris,,1.0,1,15,3,15,,,,,,,1.0,,,,1.0,,,,,,,,
ilisha,melastoma,,1.0,0,50,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,
lutjanus,erythropterus,,1.0,5,100,,,,,,,,,1.0,,,,,,,,,,,,
lythrurus,ardens,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
oncorhynchus,gorbuscha,1.0,1.0,0,250,,,,1.0,,,,,,,,1.0,,,,,,1.0,,,
cirripectes,castaneus,,1.0,0,32,0,10,,,,,,,1.0,,,1.0,,,,,,,,,
rhinecanthus,rectangulus,,1.0,0,20,,,,,,,,,1.0,,,,,,,,,,,,
